state,coordinates,users,minutes,impressions,clicks,minutes_per_user
AK,"{'latitude': 66.160507, 'longitude': -153.369141}",1546,92260.21,4584.0,450.0,60.0
AL,"{'latitude': 32.31823, 'longitude': -86.902298}",12214,1069434.08,50340.0,26601.0,88.0
AR,"{'latitude': 34.799999, 'longitude': -92.199997}",7555,568966.46,24675.0,6213.0,75.0
AZ,"{'latitude': 34.048927, 'longitude': -111.093735}",16023,1104932.74,55058.0,10756.0,69.0
CA,"{'latitude': 36.778259, 'longitude': -119.417931}",61566,4030873.8,245203.0,133199.0,65.0
CO,"{'latitude': 39.113014, 'longitude': -105.358887}",10816,751232.43,34947.0,6530.0,69.0
CT,"{'latitude': 41.599998, 'longitude': -72.699997}",7232,483098.53,22832.0,4010.0,67.0
DE,"{'latitude': 39.0, 'longitude': -75.5}",2315,172744.29,7754.0,960.0,75.0
FL,"{'latitude': 27.994402, 'longitude': -81.760254}",51408,3815193.55,196274.0,80312.0,74.0
GA,"{'latitude': 33.247875, 'longitude': -83.441162}",27982,2155053.94,99603.0,42137.0,77.0
HI,"{'latitude': 19.741755, 'longitude': -155.844437}",2303,194758.69,5862.0,17874.0,85.0
IA,"{'latitude': 42.032974, 'longitude': -93.581543}",8100,652504.77,182259.0,158332.0,81.0
ID,"{'latitude': 44.068203, 'longitude': -114.742043}",4132,257226.16,13230.0,3958.0,62.0
IL,"{'latitude': 40.0, 'longitude': -89.0}",26043,1860767.76,86006.0,18274.0,71.0
IN,"{'latitude': 40.273502, 'longitude': -86.126976}",14106,1092911.96,49128.0,7400.0,77.0
KS,"{'latitude': 38.5, 'longitude': -98.0}",5630,412291.18,18246.0,21189.0,73.0
KY,"{'latitude': 37.839333, 'longitude': -84.27002}",10145,883203.46,35938.0,12520.0,87.0
LA,"{'latitude': 30.39183, 'longitude': -92.329102}",10743,835122.13,35288.0,7183.0,78.0
MA,"{'latitude': 42.407211, 'longitude': -71.382439}",10222,673060.04,30662.0,8359.0,66.0
MD,"{'latitude': 39.045753, 'longitude': -76.641273}",14207,1078324.62,79721.0,41157.0,76.0
ME,"{'latitude': 45.367584, 'longitude': -68.972168}",2567,174911.39,9117.0,1517.0,68.0
MI,"{'latitude': 44.182205, 'longitude': -84.506836}",19755,1520400.0,76911.0,24438.0,77.0
MN,"{'latitude': 46.39241, 'longitude': -94.63623}",10850,744611.85,36627.0,8101.0,69.0
MO,"{'latitude': 38.573936, 'longitude': -92.60376}",14341,1046526.19,45928.0,17300.0,73.0
MS,"{'latitude': 33.0, 'longitude': -90.0}",7892,640589.53,28793.0,9551.0,81.0
MT,"{'latitude': 46.96526, 'longitude': -109.533691}",2058,122136.77,6648.0,990.0,59.0
NC,"{'latitude': 35.782169, 'longitude': -80.793457}",28025,2323533.38,100402.0,25052.0,83.0
ND,"{'latitude': 47.650589, 'longitude': -100.437012}",1730,151518.72,7917.0,1511.0,88.0
NE,"{'latitude': 41.5, 'longitude': -100.0}",4390,284935.65,13792.0,2255.0,65.0
NH,"{'latitude': 44.0, 'longitude': -71.5}",2378,204817.51,17311.0,1154.0,86.0
NJ,"{'latitude': 39.833851, 'longitude': -74.871826}",18550,1159542.76,63827.0,17912.0,63.0
NM,"{'latitude': 34.307144, 'longitude': -106.018066}",4463,325882.32,16042.0,3784.0,73.0
NV,"{'latitude': 39.876019, 'longitude': -117.224121}",6911,503715.88,26709.0,9206.0,73.0
NY,"{'latitude': 43.0, 'longitude': -75.0}",37293,2561707.06,116718.0,62182.0,69.0
OH,"{'latitude': 40.367474, 'longitude': -82.996216}",23548,1710073.6,78188.0,19731.0,73.0
OK,"{'latitude': 36.084621, 'longitude': -96.921387}",9515,797487.76,52010.0,37395.0,84.0
OR,"{'latitude': 44.0, 'longitude': -120.5}",7250,491954.66,31561.0,9008.0,68.0
PA,"{'latitude': 41.203323, 'longitude': -77.194527}",28226,2046919.96,93804.0,46394.0,73.0
RI,"{'latitude': 41.742325, 'longitude': -71.742332}",2552,164974.4,7768.0,1544.0,65.0
SC,"{'latitude': 33.836082, 'longitude': -81.163727}",14774,1404468.77,80961.0,32893.0,95.0
SD,"{'latitude': 44.5, 'longitude': -100.0}",1952,167648.24,51944.0,46439.0,86.0
TN,"{'latitude': 35.860119, 'longitude': -86.660156}",17993,1533454.34,64567.0,31174.0,85.0
TX,"{'latitude': 31.0, 'longitude': -100.0}",66838,4948159.2,750138.0,581520.0,74.0
UT,"{'latitude': 39.41922, 'longitude': -111.950684}",6641,461628.27999999997,21707.0,11181.0,70.0
VA,"{'latitude': 37.926868, 'longitude': -78.024902}",18586,1458629.13,331183.0,282517.0,78.0
VT,"{'latitude': 44.0, 'longitude': -72.699997}",967,65310.17,3005.0,534.0,68.0
WA,"{'latitude': 47.751076, 'longitude': -120.740135}",12805,890938.83,42282.0,9995.0,70.0
WI,"{'latitude': 44.5, 'longitude': -89.5}",10294,737486.85,33896.0,9216.0,72.0
WV,"{'latitude': 39.0, 'longitude': -80.5}",3976,321347.66,14280.0,1754.0,81.0
WY,"{'latitude': 43.07597, 'longitude': -107.290283}",1286,98079.47,4777.0,581.0,76.0
